email,homes,subject,resend_id,ts
admissions@progressvalley.org,d96025be-1dae-442c-9e24-fd77f44aacfc,Run Progress Valley in one app — from a non-profit,d4ee47ac-6ebf-4fc8-98f0-dc88abadf27a,2026-07-07 11:00:36
info@chrysalishouse.org,dc526b5c-409a-49f1-b841-235d1b5c097d,Run Chrysalis House - Serenity Apartments in one app — from a non-profit,bb7021b4-d414-43da-b36b-53b68cae1f14,2026-07-07 11:01:06
steppingstonesrecoveryhomesllc@gmail.com,dcf2161a-fb59-401e-9c8c-9508f34c37ff,Run Stepping Stones Recovery Homes in one app — from a non-profit,424392cb-ff7e-40ea-9324-2ed0b004b66c,2026-07-07 11:01:36
mybrothershouses@gmail.com,df6712df-6d49-49ff-97cf-52037a90535e,Run My Brother's House Sober Living in one app — from a non-profit,56930e3d-4ba1-4f56-8f0f-6f43e9a2c66c,2026-07-07 11:02:07
otterhouserecovery@icloud.com,e3662f16-87cd-4ba4-b865-5b05f1b8dc78,Run Otter House Recovery in one app — from a non-profit,e137a3e1-6615-4a4e-92ad-6d271e97ba07,2026-07-07 11:02:37
van@recoveryhousesofrochester.org,e26ec4c8-5ca9-444a-8c7d-d02154e66cd6,Run Recovery Houses of Rochester in one app — from a non-profit,e249f13a-10c9-4f0a-a473-4b3d24713b35,2026-07-07 11:03:08
etoria@aol.com,e22f563c-fdf8-4d7e-bc9d-6ff130ccffa3,Run A&S Addiction Services in one app — from a non-profit,f4092073-000d-4920-8392-f74d966d3cee,2026-07-07 11:03:38
info@westhavenhouseofhope.org,e5729a5a-6b74-4571-b770-68f806f49bd5,Run West Haven House in one app — from a non-profit,bde01988-c5cb-4fea-b9a2-8e33405c1c76,2026-07-07 11:04:08
corehousing2025@gmail.com,e5bd5a79-015d-415b-9958-5a2029488e7d,Run CORE Housing in one app — from a non-profit,4d6dc454-c215-4592-84a8-c580245bd1d7,2026-07-07 11:04:39
ryan@boisesoberliving.com,f1a48a33-ddc7-40e9-8f25-dee99a3ad8e4,Run Phoenix House of Idaho in one app — from a non-profit,0351cf4f-cda5-405a-b08f-a909b9b1538f,2026-07-08 11:00:04
info@sisulivinghouse.com,f3a91312-459d-4c88-b2df-668b9c65753a,Run Sisu Living House in one app — from a non-profit,5adedc53-6547-47c9-acc6-2ca7e220ee71,2026-07-08 11:00:34
info@nextchapterhomes.org,ed5335d0-fed7-4581-9ae0-3dd46295c0fa,Run Next Chapter Homes in one app — from a non-profit,54e9355e-e85d-4fd7-8711-4da20c7901fe,2026-07-08 11:01:05
bookkeeping@thehealinghouseandnewbeginnings.org,f46808fb-0b9b-494c-91df-537d1b182d47,"Run The Healing House and New Beginnings, Inc. in one app — from a non-profit",07b7c441-643f-496a-87ba-4da931457432,2026-07-08 11:01:35
hoperecoveryhousing@gmail.com,f82805a4-84ba-4e30-932b-761e1f863c0b,"Run Hope Recovery Housing, Inc. in one app — from a non-profit",27759322-6ca3-4161-b16d-1a39c6034fcc,2026-07-08 11:02:06
contact@wedorecoverllc.com,f8ea6e7f-d170-460e-a424-3cf6fb08d11a,Run Recovery House in one app — from a non-profit,e616f249-2490-4000-84b4-53d7963a14ca,2026-07-08 11:02:36
info@replantedrecovery.org,f766f3f7-cb1b-40c1-af34-64b4cd8ce596,Run Replanted Recovery Villas in one app — from a non-profit,2201001c-cd00-4d3a-a688-370de07d3e4a,2026-07-08 11:03:06
info@docsrecoveryhouse.org,f97ba596-d1b7-45cc-aafe-fa38a58200c3,Run Doc's Recovery House in one app — from a non-profit,412e2c71-d80e-4606-a647-319fde9b7b1f,2026-07-08 11:03:37
info@liftingthefallenhouse.org,f93a4c98-032d-441a-a12a-2bd4efd0a185,Run Lifting The Fallen House in one app — from a non-profit,dd7f34ae-a4c8-4361-a3e3-c3f11cbd8eb0,2026-07-08 11:04:07
scott@tslcolorado.com,faff6f2b-1805-42b5-b47f-ea4915dc85e9,Run Transitions Sober Living in one app — from a non-profit,b8b3bb49-474d-4bbc-b4fe-142d10bc7398,2026-07-08 11:04:37
mjd@mdiasfoundation.org,fa705283-42c3-40e4-b557-ea737ad85c1c,Run Christian and Brian's House in one app — from a non-profit,e40d0a5c-9362-4240-a38a-96a82145b375,2026-07-09 11:11:57
hope.house@gmail.com,f9efa84a-f06c-44b1-9142-29d348644bd9,Run Hope House in one app — from a non-profit,b0490844-ae9a-4456-a154-a3f0a18c08a1,2026-07-09 11:38:54
info@harborhall.com,f748e7be-27a8-4911-ae4c-9202d65bc264,Run Harbor Hall in one app — from a non-profit,89cd47ee-86a3-4500-b42b-ca9e4bd1050e,2026-07-09 12:39:36
hello@randyshouse.com,fb24a63b-cca2-4946-acbf-4aaa33f3ef9a,Run Randy's House in one app — from a non-profit,01986bb6-a782-4cd7-adfc-26d836d157b1,2026-07-09 12:55:55
leo@onjproperties.com,fce4c62c-839c-4bab-b2b8-4800e5c42378,Run Our New Journey Recovery Homes in one app — from a non-profit,c229d302-825e-4502-9ab4-e0846917d54b,2026-07-09 13:40:48
faithhouse81@gmail.com,fcc534bf-5bce-447d-b80c-5848eb63c99e,Run Faith House LLC in one app — from a non-profit,8f5fbce7-140c-4586-ab7a-a6dd7707fcaf,2026-07-09 14:29:54
team@archtofreedom.org,84aeabbd-4b9b-4000-b085-4c262215ce65,Run Arch to Freedom in one app — from a non-profit,84b9d618-3e0f-49f5-bdb8-68b0e4f7e641,2026-07-09 14:42:01
michaelf644@aol.com,8870a7c5-4ed1-4e20-ba52-14df25c94990,Run Lakeside Retreat in one app — from a non-profit,a3770390-7683-4da3-8103-95c812dae5dc,2026-07-09 15:42:36
keneab@newliferecoveryresources.org,fbf2b7f8-b226-434a-a34c-ec8c093658ef,Run New Life Recovery Resources in one app — from a non-profit,,2026-07-09 15:53:36
katrinalynnchase@gmail.com,52ed907a-e11e-46cc-9723-b175778931ab,Run Roots to Recovery in one app — from a non-profit,,2026-07-09 16:01:20
seacresttl@gmail.com,b1f1b6ef-2f44-434a-855d-cb53bd59cd0d,Run Seacrest Transitional Living in one app — from a non-profit,a826e557-fde7-4795-8bf9-8725c63fb93a,2026-07-10 08:52:02
blaxton@palmbeachrecoverycenters.com,48329422-e320-4967-b768-129394ca6d81,Run 803 Recovery in one app — from a non-profit,e433356f-e8ad-48fd-9584-cc144793c173,2026-07-10 08:53:33
chalpern@renaissanceinstitute.net,591500a9-610f-4e24-bf61-4614fd8a5341,Run Caron of Florida in one app — from a non-profit,7870ee8f-750b-44e9-86b7-759ab6ad4af3,2026-07-10 08:55:03
couragehousellc@gmail.com,f6069714-e971-4543-8623-38eb098a15bc,Run Courage House in one app — from a non-profit,3f936f10-e58c-4ac8-a3bd-d9b7047069f2,2026-07-10 08:56:33
donnyssoberliving@gmail.com,a5af9c03-757d-4200-a7a9-7f73cdfb9cf5,Run Donnys Sober Living in one app — from a non-profit,576f62ac-0bd7-48a1-a128-f094bb2c3f03,2026-07-10 08:58:04
jan@floridarecoverygroup.com,3070a4d2-f1ae-49f4-a180-632fa8be4569,Run Florida Recovery Group in one app — from a non-profit,1347d0f1-0959-4bca-b4c3-6896c43c5ee8,2026-07-10 08:59:34
admissions@grncare.com,07cc6bba-9647-49ea-9204-1ee73e1e2527,Run Immersion Recovery in one app — from a non-profit,4ba3e26e-ef5d-4a04-b152-93d3811fb7f7,2026-07-10 09:01:05
