listing_id,name,city,state,website,email,source,phone
0b50d61a-a787-4267-86d6-90f9c1002088,"City Houses, Inc.",Jacksonville,FL,https://www.cityhouses.org/,angie.cityhouses@yahoo.com,website,904-359-9375
0a7a1403-a25a-4fb2-b8e6-3738bb0bb95b,Rise Above Lowell,Lowell,MA,https://riseabovesoberlivingma.com,time2riseabove@gmail.com,website,(978) 490-0215
0d4b5f6d-5c42-4160-946e-7c9725366919,Stay Cozy LLC,,GA,https://staycozyliving.com,info@staycozyliving.com,website,(470) 994-1965
0c48ef79-9eeb-4836-b784-ad252195f19c,Sisters In Christ,Kansas City,MO,https://www.sistersinchristkc.org,sisters@sistersinchristkc.org,website,(816) 772-3398
0db1c5a8-ce3a-4bc4-b496-4f0d3638f407,The Women's Home,Houston,TX,https://www.thewomenshome.org/,intake@thewomenshome.org,website,713-521-3150
0e9556bf-7ad2-41aa-84e3-906860caeaa2,Silver House Sober Living,Tucson,AZ,https://www.silverhousesoberliving.com,silverhousesoberliving@gmail.com,website,(520) 585-2919
0d019702-2105-4984-972c-9583652a403d,The Faith Project,Gwinnett County,GA,https://www.faithprojectatl.org,hello@faithprojectatl.org,website,(770) 759-1011
0bc703da-95c6-4b23-95c9-7b1fd45a4f1e,Integrity Sober Homes,Freeport,NY,https://www.integritysoberhomes.com/,integrityhomeli@gmail.com,website,516-210-5049
0fecd3d9-f202-4dc5-80e9-08a1ebe3cdc6,Bear River Health Recovery Residences,Petoskey,MI,https://www.bearriverhealth.com,hr@bearriverhealth.com,website,231-758-4566
08c61c3f-cc73-44e3-a7fe-52fba98218ce,925 Noble House,Bridgeport,CT,https://recovcd.org/,info@recovcd.org,website,203-626-2327
11d77f84-5a5d-422a-b303-9fdf0f04826c,423 Hope - Kealoha Ministries,Rhea County,TN,https://kealohaministries.org,support@kealohaministries.org,website,931-250-1965
1409622f-26a8-41dc-b8c6-aa0b21512755,Wings of Hope Recovery,Middletown,CT,https://www.wingsofhoperecovery.com/,admissions@wingsofhoperecovery.com,website,860-222-2768
14a5d706-7d0e-4306-8ef1-cfd3aff134da,Clubhouse Sober Living,San Antonio,TX,https://www.clubhousesoberliving.net/,info@clubhousesoberliving.net,website,210-780-3002
1389a0b8-22c9-4620-9c60-7dc43e035ad8,Phoenix Recovery Project - The Deer House,Phoenixville,PA,https://www.phoenixrecoveryproject.com,intake@phoenixrecoveryproject.com,website,610-233-4342
155af5bc-4651-48e6-aa33-db59ec37149f,Serenity Sistas,Annapolis,MD,https://www.serenitysistas.org/,info@serenitysistas.org,website,(443) 214-5526
11d5408e-1186-4ee2-b3bb-1750be81df86,Phoenix Recovery,Nashville,TN,https://phnxrecovery.com,info@phnxrecovery.com,website,615-669-5007
15116d47-fdc2-43f9-9cf3-edaad532b2f2,Broadmoor Sober Living,Jackson,MS,https://broadmoorsoberlive.com/,jmftzwtsn@gmail.com,website,601-397-2958
14df7f77-6719-4149-8d10-f3f6dd61acd8,RECOVERY & RESTORATION MINISTRIES INC.,Carroll County,GA,https://recoveringmen.org,recoveryministries@yahoo.com,website,(404) 717-6930
1672cf64-ce88-43ca-96b0-8c7fc3532f1b,Transcend NYC,New York,NY,https://transcend.nyc/,admissions@transcend.nyc,website,646-389-4045
164609a6-4111-40fe-baba-ee14cfaed5cf,Excelsior House Sober Living,Lake Charles,LA,https://www.excelsiorsoberliving.org/,excelsiorhouselakecharles@yahoo.com,website,337-564-0702
13662002-742f-4e20-afd9-4318aab36a5d,Change Place Sober Living (Metro),Minneapolis,MN,https://change.place/,info@change.place,website,(612) 248-3000
17e150ef-1488-4d11-b5f8-7c8887b94f00,Into Action,Mobile,AL,https://intoactionrecoveryhomes.com,nintoactionrecoveryhomes@gmail.com,website,251-800-1057
19d325fc-3b3a-4f33-b5f4-53230badbe86,Greater Chicago Sober Living,Chicago,IL,https://greaterchicagosoberliving.com/,admission@greaterchicagosoberliving.com,website,224-268-8388
1aba693e-4649-4985-90ad-f837a24fea3b,Iowa City Sober Living,Iowa City,IA,https://iowacitysoberliving.com/,iowacitysoberliving@gmail.com,website,(319) 383-4935
17bbc959-fb84-434b-a036-e66d2a2dbf82,Next Journey Sober Living,Mount Laurel,NJ,https://njsoberliving.com/,info@njsoberliving.com,website,833-548-7627
19fd65ac-28ac-4afc-9a8b-411b1b399f8c,Release Recovery NYC,New York,NY,https://www.releaserecovery.com/,connect@releaserecovery.com,website,914-266-7642
1adec43d-1cbf-4847-ae0b-2e5fde03fb17,"Transitions, Inc. - Grateful Life Center",Erlanger,KY,https://www.transitionsky.org/facilities/grateful-life-center/,bsuhr@transitionsky.org,website,859-359-4639
1c30022f-80e5-4a88-bfe0-db71e00e26bb,Esther House,Waynesboro,PA,https://www.parronline.org/residence-directory,f.way@parronline.org,website,717-655-5217
1d2fcf56-87a2-4038-b6bc-047919ab84c9,Gambit Recovery - Nelson House,Poulsbo,WA,https://www.gambitrecovery.com/menshouses/nelson,info@gambitrecovery.com,website,833-442-6248
1c2669be-0d59-4a9f-ad84-e3abee50fe79,Fresh Coast Alliance,Muskegon,MI,https://www.freshcoastalliance.org,info@freshcoastalliance.org,website,231-286-1998
1229c44b-c4fa-429e-9193-1178bf9f6b36,Santa Maria Hostel (Casa for women & children),Houston,TX,https://www.santamariahostel.org/,admissions@santamariahostel.org,website,713-691-0900
1df0a7b7-f2fa-4fab-b236-bdad4ff58df2,"Crosspoint, Inc. (Casa Mía)",San Antonio,TX,https://cpsatx.org/,info@cpsatx.org,website,(210) 549-4730
1e8430b9-4c61-41d9-8ceb-68742ddd7547,Just Breathe Recovery,Nashville,TN,https://www.justbreatherecovery.com,contact@justbreatherecovery.com,website,615-698-9233
1e96831b-0415-40f2-b5dc-8a7f6f4d8047,Amos House,Providence,RI,https://amoshouse.com,info@amoshouse.com,website,401-272-0220
1f92942a-d9f3-4ee9-b5c8-3dd381c856b6,Boston Sober Homes - Women's House,Dorchester,MA,https://www.bostonsoberhomes.com,info@bostonsoberhomes.com,website,(857) 417-1753
20c2399c-5274-4436-8ab5-2f053db41d60,Opal Recovery Home,Tampa,FL,https://opalrecoveryhome.com/,info@opalrecoveryhome.com,website,813-727-9254
21b208f2-04e6-427f-b787-0042969de6a6,Phoenix Recovery Project - The Shunk Street House,Philadelphia,PA,https://www.phoenixrecoveryproject.com,intake@phoenixrecoveryproject.com,website,610-233-4342
2268f311-babf-408a-bea8-42b387c2be23,Holworthy Eco Sober House,Boston,MA,https://ecosoberhouse.com,help@ecosoberhouse.com,website,(617) 982-1790
220a58d2-af63-4d70-8a58-51e892ba9d0b,Valor Recovery House,Cobb County,GA,https://www.valorhouse.net,rudra@valorhouse.net,website,(678) 913-3238
232d822a-7959-495f-bb8f-4e867bbee309,Great Lakes Sober Living - The Twos,Duluth,MN,https://greatlakessoberliving.com/,brian@greatlakessoberliving.com,website,(218) 461-5551
1ff8ac0b-d24f-4788-9278-6cadc8035b0a,Best Life Recovery,Huntsville,AL,https://bestliferecovery.org,stephanie.jennings@bestliferecovery.org,website,267-738-1657
242ddfb0-a79b-44df-8538-32bf1e21fecc,Sober Living of Washington - Cascade Park House,Vancouver,WA,https://www.soberlivingofwashington.com/,intake@soberlivingofwashington.com,website,360-901-8021
24a6424f-746a-4d94-98a3-7e97e5b491d1,AZ Fearless Recovery,Phoenix,AZ,https://azfearlessrecovery.com,info@azfearlessrecovery.com,website,(602) 878-4150
22310a6a-2a44-4ff3-a48e-d453beedab5e,Steps To Recovery Homes,Cottonwood,AZ,https://stepstorecoveryhomes.org,info@stepstorecoveryhomes.org,website,(928) 713-3540
25c71c27-8bc2-4079-b9da-8822b3918c3d,Stay Up Recovery,Fresno,CA,https://stayuprecovery.com/,stayuprecovery@gmail.com,website,559-767-5082
25f5946d-2fbc-47e1-b07f-1a0813bd42af,TE Recovery (Jon Arrabal House of Hope),Norfolk,VA,https://terecovery.com,thomas@terecovery.com,website,757-563-3089
275b439a-a41e-4c33-9f5c-043bafd90b7d,How It Works Sober Living,Wichita,KS,https://hiwsoberliving.com/,jonpinhorn.typedesign@gmail.com,website,(316) 425-0125
2653fba3-e361-4b8f-8399-50395cae4b89,Phoenix Rising Treatment - Men's Sober Living,Millcreek,UT,https://phoenixrisingtreatment.com/,support@phoenixrisingtreatment.com,website,(385) 347-5300
28c80330-0fab-495c-8893-5254b4da584e,Volunteers For Recovery,Knoxville,TN,https://www.volunteersforrecovery.com,volunteersforrecovery@outlook.com,website,865-809-7562
2906d3d9-bb28-463a-af7c-e068332294fa,Door To Serenity,Mobile,AL,https://doortoserenity.org,lisa@doortoserenity.org,website,251-610-3389
298b69cf-f200-4e4f-8ff6-efe38dd5f5df,Stella Maris,Cleveland,OH,https://www.stellamariscleveland.com/housing,info@stellamariscleveland.com,website,(216) 781-0550
29b9396d-d0cd-40fd-bb01-b1a6c9c1e611,Greater Impact,Bozeman,MT,https://www.greaterimpact.us/sober-living,info@greaterimpact.us,website,406-539-2260
2927dea1-8a44-457e-92df-b708003a833a,NextGen Recovery,Myrtle Beach,SC,https://nextgenrecovery.org,support@nextgenrecovery.org,website,843-222-0779
2abbc7b4-12bc-495b-afcf-09b2f4e567db,True Recovery RVA,Richmond,VA,https://www.truerecoveryrva.com,info@truerecoveryrva.com,website,833-878-3732
2bfa4950-558a-4dbb-be88-9cd94ce5681d,The GAAL House,Memphis,TN,https://thegaalhouse.org,thegaalhouse@gmail.com,website,901-515-6377
2cbdbbe8-ec4e-4d29-8faf-915ec7d2a41e,Maverick House,East Boston,MA,https://www.americasober.com,info@americasober.com,website,(617) 610-0053
2bcf0c1f-65df-44bf-9c40-d353cb508092,New Lyfe Solutions - Carson City,Carson City,NV,https://newlyfesolutions.com/carson-city/,info@newlyfesolutions.com,website,(844) 463-9593
2de0fbcd-f2a1-4b44-9fc0-bf8f115e26eb,Lightway Recovery,Hall County,GA,https://lightwayrecovery.org,info@lightwayrecovery.org,website,(678) 250-3511
2b94f02f-2a38-4635-9535-d2bd78ee1d13,Stepping Stones Treatment Center - Recovery Homes,Joliet,IL,https://steppingstonestreatment.com/cause/recovery-homes/,info@steppingstonestreatment.com,website,815-744-4555
2ec78911-2473-4d0d-afb6-72a6bbffaec3,The Bridge NYC,New York,NY,https://www.thebridgenyc.net/,info@thebridgenyc.net,website,917-692-1381
2ebe2ecc-5cb6-49b7-9ac2-49f7112c0584,Voices of Hope - Women's Recovery House,Elkton,MD,https://www.voicesofhopemaryland.org/recovery-houses,info@voicesofhopemaryland.org,website,(443) 993-7055
2f37b164-669e-4870-839f-a9c60fe0c398,House of Hope,Chambersburg,PA,https://www.parronline.org/residence-directory,f.way@parronline.org,website,717-729-7338
2dab4ad7-aad3-4abf-b948-fb84b23f8b7e,Harbor of Hope,Des Moines,IA,https://harborofhopeiowa.com/,harborofhopeia@gmail.com,website,(515) 244-0370
2f9be9a4-2258-42f7-b90f-24047e221ff4,423 Hope Recovery Residences,Chattanooga,TN,https://423hope.com,info@423hope.com,website,423-362-7227
3074b701-12cf-4725-b3b6-b00bd6051c6d,John's Addiction Recovery & Reentry Services Inc,Gwinnett County,GA,https://www.jarrs.net,marierutter@jarrs.net,website,(770) 312-8009
309d33af-4e22-4053-aa7a-e117fd538e30,Seattle Sober Living - Capitol Hill,Seattle,WA,https://seattlesoberliving.com/,david@seattlesoberliving.com,website,206-714-5150
314a4dd5-8acf-4b0f-b6b7-3264e7de1e4c,The Better Path Foundation - Gray House,Middleton,WI,https://thebetterpath.org/,help@thebetterpath.org,website,608-721-4000
31f4be1e-f0c6-4b17-b7e3-972f20e6a1c5,We Have a Choice Recovery House,Scranton,PA,https://www.parronline.org/residence-directory,f.way@parronline.org,website,570-534-5439
3290216a-5110-49d7-ade2-1a69355c78b3,Oxford House Kirk,Burlington,VT,https://oxfordhousevt.org/,oxford42bright@gmail.com,website,(802) 825-7875
309391c9-17ce-45f0-a86b-dfe354cef825,DB House Sober Living - 15 Overlook Ave (Paterson),Paterson,NJ,https://www.dbsoberliving.com/,info@dbsoberliving.com,website,201-308-6333
34def8a4-8ac8-4c68-b903-9d52c210393c,New Life Development Inc.,Anchorage,AK,https://newlifeak.org/,admin@newlifeak.org,website,907-531-0774
33e0b1ae-1e4f-48df-9021-ce768a10fe7f,Jane's Way Sober Living,West Palm Beach,FL,https://www.soberlivingjw.com/,admissions@soberlivingjw.com,website,855-762-7375
3489c2d4-992d-4d55-81df-4ac64272592b,"STEP, Inc. - Renewal Recovery Residences",Billings,MT,https://step-inc.org/sobriety-housing/,info@step-inc.org,website,406-248-2055
359b6197-4964-432d-ad2f-5b4c32f314a8,Second Chance Recovery Residences,Sandy Springs,GA,https://www.secondchanceatl.org,info@secondchanceatl.org,website,(770) 885-9353
362e0a3f-3ae2-4509-b295-60e4ea193622,Journey House RVA Recovery Residences,Henrico,VA,https://journeyhouserecovery.org,info@journeyhouserecovery.org,website,877-484-5769
36d765e7-57f0-4f16-a2d5-83198d3c655f,Pieces Peace's Traditional Housing Program,Kansas City,MO,https://www.piecespeaces.org,pieces.peaces@yahoo.com,website,(816) 745-6591
3508f197-f903-41ed-ab60-129fa436d859,Fourth & Hope - Sober Living (SLE),Woodland,CA,https://fourthandhope.org/programs/,connect@fourthandhope.org,website,530-661-1218
3679371e-1fd7-4d30-aa02-592c1ab9224d,Rosecrance Marlowe House,Rockford,IL,https://www.rosecrance.org/locations/rosecrance-marlowe-house/,dlondon@rosecrance.org,website,815-391-1000
376149e4-7146-4cf0-8faf-a64cc4ff535c,Jasmine Road,Greenville,SC,https://jasmineroad.org,info@jasmineroad.org,website,864-325-6752
38006064-f292-4a3a-8c62-481f9f4ff4f0,Blue Sky Sober Living,Austin,TX,https://blueskysoberliving.org/,info@blueskysoberliving.org,website,512-265-1511
3960e63b-8d4a-4f62-a035-b0979622c943,Seattle Sober Living - U District,Seattle,WA,https://seattlesoberliving.com/,david@seattlesoberliving.com,website,206-714-5150
39e068d6-03f8-4702-b05c-a0379af2ea35,Simply Grace House,Dallas,TX,https://simplygracehouse.com/,info@simplygracehouse.com,website,214-774-9808
396bddc0-ec7b-4b59-99fb-8cde3c6fee24,Thriving United (Angel Haven),Midland,TX,https://thrivingunited.org/,impallari@gmail.com,website,432-701-8678
36f0890e-d550-43aa-80ee-642ed175059e,Jordan Matthew House,Fall River,MA,https://www.resilienthomesfr.org,jcabral1030@gmail.com,website,(508) 617-9009
3a843277-67e1-451f-8213-898deec9333f,Helping Hands in Recovery,Perkasie,PA,https://www.parronline.org/residence-directory,f.way@parronline.org,website,215-852-4300
3b93efa3-04d8-45b3-aea1-27c2f76af388,Phoenix Recovery Project - The High Street House,Phoenixville,PA,https://www.phoenixrecoveryproject.com,intake@phoenixrecoveryproject.com,website,610-233-4342
3a88ddc3-62b9-4e81-94ce-2c6fc213933c,Ray of Hope Behavioral Health,Hilliard,OH,https://www.rayofhopecolumbus.com/sober-living/,info@rayofhopecolumbus.com,website,(380) 204-6244
3de54b20-3ebe-4c16-8f48-791aee4993e0,Steps to Peace & Purpose,Candler,NC,https://12stephalfwayhouse.com/,peacepurpose@icloud.com,website,828-467-3336
3d1b6d3a-b38f-4b02-a902-ab71947cdfd8,Second Hope,Louisville,KY,https://www.2ndhope.org/,nick@2ndhope.org,website,502-528-1314
3c636e08-61cb-4e43-810d-79fb1010b730,Ten Sixteen Recovery Network,Midland,MI,https://www.1016.org,info@1016.org,website,989-631-0241
40a4be99-2ea1-4a7e-9624-4350985f2356,Great Lakes Sober Living - Lakeview,Duluth,MN,https://greatlakessoberliving.com/,brian@greatlakessoberliving.com,website,(218) 461-5551
3f3660e3-fa4b-4cf5-acfc-30861beffdbb,Rosecrance Lakeview,Chicago,IL,https://www.rosecrance.org/services/sober-living-housing/,dlondon@rosecrance.org,website,815-391-1000
42c824d7-addd-4717-ab4f-474bced46ccd,Men of Dignity- Circuit Ave,Worcester,MA,https://www.mo-dignity.org,amkryukov@gmail.com,website,(774) 303-0333
401b769c-a358-4eb8-9d44-ca8201d52882,Bridges of Hope Morven,Morven,GA,https://www.bohgeorgia.com/,bohmorgan@outlook.com,website,(229) 775-3210
4287a727-7201-48b8-bff3-0635f477ab42,My Father's House,Nashville,TN,https://myfathershousenashville.org,ron.sisney.mfhn@gmail.com,website,615-319-5579
45be0ee9-52c6-4dba-a4fd-9c27dea5037a,Valor House (517 Ministries),Monroe County,TN,https://517ministries.godaddysites.com,amyleonard2911@gmail.com,website,423-351-4758
468229b0-008a-4dbd-ab5a-74f6c236c72c,Voice of Grace Dream Center,Vidalia,GA,https://www.dreamcentervidalia.com,dreamcentervidalia@yahoo.com,website,(912) 388-4825
449bcdcd-7327-4fff-a631-34b61c7ceba0,"Gilgal, Inc.",Atlanta,GA,https://www.womenofgilgal.org,info@womenofgilgal.org,website,(404) 305-8007
467fc313-57f8-4505-9dad-d76f278b1fd4,The Ashcroft House,Worcester,MA,https://soberlivingcompany.com,info@soberlivingcompany.com,website,(508) 499-0555
470ce35c-5136-48a6-bf16-0057fc36818c,Houston Recovery Homes,Houston,TX,https://houstonrecoveryhomes.com/,btsmith713@gmail.com,website,(713) 899-7592
46e17b61-e31d-4e08-830c-26410c96e355,Axiom Recovery Homes,Nashville,TN,https://axiomrecoveryhomes.com,tara@axiomrecoveryhomes.com,website,629-207-6455
3ce9d0cd-d39e-436b-95aa-bb8bf8849e0b,Community Health Alliance (formerly Sojourner Recovery Services),Fairfield,OH,https://communityhealthalliance.com/,marketing@communityhealthalliance.com,website,(513) 896-8300
42faee6e-5801-4f2b-93e3-8dd10892298f,Kickstart Recovery,Hall County,GA,https://www.kickstartrecovery.org,markblack@kickstartrecovery.org,website,(770) 539-4946
45a7c9ce-8b19-4755-9e8d-2089c9787251,Crossroads Recovery Community,Port Huron,MI,https://crossroadsrecoverycommunity.org,angie@crossroadsrecoverycommunity.org,website,810-858-9317
48a000ee-b7e2-47a5-a85d-efefde99f01a,Happy Destiny House,Tacoma,WA,http://www.happydestinyhouse.org/,breanne@happydestinyhouse.org,website,360-663-4594
46f2d61c-9c5a-4493-bcaf-574e50378587,Lighthouse Recovery Housing,Columbus,OH,https://lighthousebhsolutions.com/recovery-housing/,info@lighthousebhsolutions.com,website,(614) 334-6903
49ca6f3e-ffc4-41bb-947a-dd3fbb64dfaf,Step Denver,Denver,CO,https://stepdenver.org/,stepdenver@stepdenver.org,website,303-295-7837
47c81bfd-7020-416c-91a7-7c2cfd05094c,Second Chance Sobriety - North Oakland/Berkeley,Oakland,CA,https://secondchancesobriety.com/62nd-st-north-oakland-berkeley/,humanresources.secondchance@gmail.com,website,877-640-0840
4b976751-95a4-4001-8a8b-479158d5a124,Safe Haven Transitional Living,York,PA,https://safehavenyork.com/,safehavenyork@gmail.com,website,717-845-5699
4c4c9189-333b-4d6d-b392-6d39c850ee3e,Seattle Sober Living - Green Lake,Seattle,WA,https://seattlesoberliving.com/,david@seattlesoberliving.com,website,206-714-5150
4e5a9eea-e484-419c-beb9-4b0e7c5ad5a1,Gravity Hill #2,Springfield,MA,https://www.mhainc.org/gravityhill,gravityhill@mhainc.org,website,(413) 310-0012
4e982424-18be-44bb-a929-e15b5f9ce9bd,Bay Area Sober Livings - Cayuga Ave,San Francisco,CA,https://bayareasoberlivings.com/cayuga-ave/,info@bayareasoberlivings.com,website,415-779-3154
4ec50bb6-14b3-4e9a-a8f8-c1465b1b5312,Continuum Recovery Network,,GA,https://www.continuumrecoverynetwork.com,wweeiihhuuaanngg@gmail.com,website,(404) 388-8011
4f237912-0d6a-497a-969e-d8fe29bf4278,Ascend Sober Living,Concord,NH,https://ascendsoberliving.com/,info@ascendsoberliving.com,website,603-207-4816
4b6f7237-82b6-4b44-91dd-9478789aab46,Prescott Recovery Center,Prescott,AZ,https://www.prescottrecoverycenter.com,steve.emery03@yahoo.com,website,(928) 273-3936
4f6aaf8e-ccff-487a-92e1-ed6d0fc6d6eb,Oxford House Connecticut,New Haven,CT,https://ctoxfordhouse.org/,director@ctoxfordhouse.org,website,877-693-6734
4d357391-1d79-41e6-9feb-492f763bbdfb,A Better Way Recovery,Hall County,GA,https://www.abetterwayrecovery.com,info@abetterwayrecovery.com,website,(678) 943-1200
513233b0-96ea-4fd4-b130-bb34e2a07281,The Quincy House,Quincy,MA,https://www.resurgencerecoveryhomes.com,info@resurgencerecoveryhomes.com,website,(413) 329-9760
4be85816-7637-4fea-ba35-4b03ad8e0a54,Home with Hope - Women's Recovery Home (BrightHouse),Lafayette,IN,https://www.meridianhs.org/homewithhope,info@meridianhs.org,website,765-742-3246
4ed1431a-c56e-48f0-bc3f-e386358607cb,DB House Sober Living - Lincoln Ave (Elmwood Park),Elmwood Park,NJ,https://www.dbsoberliving.com/,info@dbsoberliving.com,website,201-613-5561
52b5a0f3-3bb0-4600-8343-e1b3b01155e4,Miracles of Dignity - Camp St 3,Worcester,MA,https://www.mo-dignity.org,amkryukov@gmail.com,website,(774) 303-0333
5201aa66-4272-482a-a55e-b6efacf0e30d,Vermont Foundation of Recovery - Rutland (Men),Rutland,VT,https://www.vfor.org/,info@www.vfor.org,website,(802) 735-4340
5279b0d6-d677-4d36-aec4-d1e08397fbc4,Pathway House - Women's Program,Rochester,MN,http://www.pathwayhouse.org/,tjpowers@pathwayhouse.org,website,(507) 281-0441
533ae8f0-d028-493f-88df-8d0730f8ed10,Boston Sober Homes - Men's House,Dorchester,MA,https://www.bostonsoberhomes.com,info@bostonsoberhomes.com,website,(617) 504-3384
52fea971-70a0-44a1-8558-c3dd62fcfbe2,Agape Recovery House,Marietta,GA,https://www.agaperecoveryhouse.com,agaperecoveryhouse@gmail.com,website,(470) 460-8437
54da9831-66b8-426b-9889-fd96a1dce5e3,Next Steps Recovery,Nashville,TN,https://nextstepsrecoverytn.com,drew@nextstepsrecoverytn.com,website,336-420-6704
522e733c-3082-4cb5-8665-66612ad8cd25,Guildhaus,Blue Island,IL,https://www.guildhaus.org/,guildhaus@gmail.com,website,708-385-3228
5576825f-7d93-417c-a815-85a867a32f18,Junction House Recovery Residences,Huntingdon Valley,PA,https://www.junctionhouserecovery.com,info@junctionhouserecovery.com,website,215-815-0113
555396fe-f848-4d06-865e-0645fa239fcc,Texas Recovery Residences (Katy Heights & Sandra House),Katy,TX,https://texasrecoveryresidences.org/,cordharris@texasrecoveryresidences.org,website,832-258-4338
52cbef5a-2f14-4851-ac28-c4197df12a07,New Connections - Ann Flagg Cottage (Annie's Cottage),Tacoma,WA,https://nctacoma.org/houses/,info@nctacoma.org,website,253-617-1405
55a2d4e9-5633-4889-b281-56f669854deb,Thrive On Recovery,,GA,https://www.thriveonrecovery.com,info@thriveonrecovery.com,website,(770) 757-6683
57824908-ae10-49c9-8551-1c0425db84c5,Making A Change Housing,,GA,https://www.makeachangehousing.com,makeachangehousing@gmail.com,website,(206) 765-7430
56acf983-d696-492d-8216-638511030de6,Brighter Days,Fall River,MA,https://www.resilienthomesfr.org,jcabral1030@gmail.com,website,(774) 955-4309
59b358be-0dbf-4068-9a4a-557dbc0035a2,Hubbert Homes,Oakland,CA,https://www.hubberthomes.com/,info@hubberthomes.com,website,510-221-0444
5820894a-cfb6-4bc8-a63a-1dc852d82798,Resilient Home Living,Wichita,KS,https://resilienthomeliving.com/,contact@resilienthomeliving.com,website,(316) 749-8029
5adbc151-cdcc-42ec-b5c5-d7e2d8b6c17f,Oxford House Ichabod,Topeka,KS,https://oxfordhousekansas.org/,wanko28@gmail.com,website,(785) 329-5067
5bf36905-79d1-4c22-bd01-2e11f773864f,Marin Services for Men,San Rafael,CA,https://www.marinservicesformen.org/,lferguson@marinservicesformen.org,website,415-485-6736
5d101733-073f-47f0-8882-ec8bfd4e72b1,Heal Space Recovery,Toledo,OH,https://www.healtoledo.com/,housing@healtoledo.com,website,(833) 419-4325
5b529b17-91f7-43c7-9d37-677ff83e1d84,DB House Sober Living - Derrom Ave (Paterson),Paterson,NJ,https://www.dbsoberliving.com/,info@dbsoberliving.com,website,201-514-6068
5e117832-dded-48ad-9620-2bbb837800cc,Up & Out Sober Living,Frederick,MD,https://upandoutsoberliving.com/,info@upandoutsoberliving.com,website,(443) 920-4744
5cbfd27c-b854-49aa-b4ca-8c06efd332de,Cornerstone Sober Living Environments,San Rafael,CA,https://www.cornerstonesle.com/,cornerstonesle@gmail.com,website,415-320-5970
5cf5fef5-4b58-4a18-8905-bf09bd41b37d,DB House Sober Living - Saddle Brook (Women),Saddle Brook,NJ,https://www.dbsoberliving.com/,info@dbsoberliving.com,website,201-347-1170
5f9cd868-d1de-4094-8aca-410f2771d1a4,NW Recovery Homes,Portland,OR,https://www.nwrecoveryhomes.com/,info@nwrecoveryhomes.com,website,971-280-3088
5f06d871-36b5-4876-b8d2-6909703e23b3,Next Step Recovery Homes (St. Cloud),St. Cloud,MN,https://www.nextsteprecoveryhomes.com/,nextstepllcmn@gmail.com,website,(612) 503-0406
5fb26092-445b-4a68-a7fd-50cdb4bc0487,Next Step Recovery,Asheville,NC,https://nextsteprecovery.com/sober-living/,admissions@nextsteprecovery.com,website,828-761-0722
600c70f1-bd10-4479-8464-3fc13c5a2ac7,Lifeline Recovery & Wellness,Jacksonville,NC,https://www.lifelinerecoveryandwellness.com/,lifelinerecoverywellness@gmail.com,website,910-209-0022
